C50H71N13O12S0 11
C254H377N65O75S6 14
C520H817N139O147S8 18
C744H1224N210O222S5 21
C2023H32084N524O619S20 39
C2934H4615N781O897S39 53
C5047H8014N1338O1495S48 81
C8574H13378N2092O2392S77 129
C17600H26474N4752O5486S197 262
C23832H37816N6528O7031S170 341
C50H71N13O12S0 50
C254H377N65O75S6 50
C520H817N139O147S8 50
C744H1224N210O222S5 100
C2023H32084N524O619S20 322
C2934H4615N781O897S39 400
C5047H8014N1338O1495S48 643
C8574H13378N2092O2392S77 807
C17600H26474N4752O5486S197 1163
C23832H37816N6528O7031S170 1325
